MP1.CellCyc,MP2.RadMig,MP3.EpiDiff,MP4.Angiogen,MP5.Hypoxia,MP6.Stress,MP7.WoundResp
TOP2A,LAMB1,S100A7,SFRP5,ACTA2,HSPA6,S100A7
MKI67,MEGF6,CALML5,TGM3,TAGLN,FOSB,S100A8
ASPM,LRP8,KRT6B,ALK,MYL9,FOS,S100A9
CDK1,TMTC1,DMKN,BGN,CHI3L1,ATF3,KRT6B
TPX2,SLC7A2,S100A8,CRNN,MYLK,EGR1,KRT6A
TK1,FAT3,LGALS7B,KRTAP17-1,CSRP1,NR4A1,INHBA
CENPF,NIN,KRT6A,SLC6A9,GBP1,MYC,TIMP1
ECT2,NPNT,KRT75,SFRP1,ANXA3,ZFP36,CHI3L1
NUSAP1,RTL10,S100A9,HSD11B2,LDHA,EGR2,AQP3
PCLAF,TNS3,SOSTDC1,EDN2,BNIP3,DNAJB1,TMEM45A
ZWINT,PEAK1,THBD,RAMP1,FHL1,DUSP2,KRT16
CENPK,PCNT,INHBA,C16orf74,PGK1,JUN,LYPD3
TMSB15A,LGR5,DSG1,TSPAN4,ENO1,ARC,TYMP
CCNB1,SLC6A6,CLDN4,UCP2,,GADD45B,PHLDA2
MAD2L1,NTRK3,TMEM45A,CHST2,,IER3,S100A2
CENPU,SLIT3,RHOV,CARD16,,IER2,IFITM3
PTTG1,ABI3BP,UNC5B-AS1,MT1F,,CDKN1A,
UBE2T,LTBP1,RBP1,MDK,,OVOL1,
PRC1,FRAS1,CRCT1,EPCAM,,DUSP1,
GINS2,NAV2,AQP3,DAPL1,,JUNB,
RAD51AP1,PTPN14,TACSTD2,LINC01315,,KLF4,
CHEK1,DYNC2H1,CX3CL1,BOK,,SOCS3,
CDCA7,TNRC6C,MGP,ARPC1B,,SERTAD1,
CENPW,SORL1,TINCR,,,HSPA1B,
LMNB1,FAT1,AHNAK2,,,BCL6,
SMC2,DST,SCUBE3,,,IER5,
ORC6,SYNE2,S100A2,,,HES1,
GMNN,,NOTCH3,,,MAFF,
MCM6,,MT1X,,,PPP1R15A,
FEN1,,LAD1,,,BHLHE40,
H1-1,,LYPD3,,,CCN1,
HMGB2,,KRT16,,,NRARP,
BRCA2,,GJB3,,,IRF1,
MCM5,,SULF2,,,KLF10,
ATAD2,,LGALS3,,,INTS6,
H4C3,,DBI,,,BTG2,
TUBA1B,,HES4,,,ID3,
H2AC11,,APOE,,,PLK2,
TACC3,,NECTIN4,,,NFKBIZ,
HELLS,,IL1RN,,,ZC3H12A,
PCNA,,NUPR1,,,TSC22D1,
MCM4,,BARX2,,,GADD45A,
MCM3,,FXYD3,,,DNAJB4,
CENPH,,CYB5A,,,NFKBIA,
ATAD5,,S100A16,,,IFRD1,
SKA2,,CIB1,,,RGS16,
SMC4,,CLTB,,,HEXIM1,
H1-2,,CSTB,,,TRIB1,
GGH,,,,,HSPA2,
CKAP2,,,,,JMJD6,
CKS1B,,,,,MYLIP,
DEK,,,,,TENT5A,
,,,,,HSPH1,
,,,,,KLF6,
,,,,,CITED2,
,,,,,BTG1,
,,,,,ZFP36L1,
,,,,,KLF5,
,,,,,BAG3,
,,,,,RND3,
,,,,,MCL1,
