"","V1","V2","V3","V4","V5","V6","V7"
".id","MP1","MP2","MP3","MP4","MP5","MP6","MP7"
"1","MAD2L1","VPS13B","CALML5","SFRP5","TAGLN","ATF3","S100A9"
"2","CENPW","CPLANE1","LGALS7B","RBP2","MYL9","EGR2","TIMP1"
"3","LMNB1","FAT3","DMKN","SFRP1","ACTA2","FOSB","S100A8"
"4","RAD51AP1","APPAT","RBP1","TGM3","CSRP1","JUNB","CHI3L1"
"5","TPX2","DST","CLDN4","EPCAM","CHI3L1","NFKBIA","INHBA"
"6","CCNB1","FSIP2","KRT6A","BIN1","MYLK","NR4A1","MT2A"
"7","PCLAF","PEAK1","KRT6B","RAMP1","MFAP4","OVOL1","ITGB6"
"8","UBE2T","NAV2","SOSTDC1","BGN","BNIP3","ZFP36","KRT6A"
"9","CENPK","LGR5","HES4","FIBIN","ENO1","BAG3","MICAL2"
"10","CKAP2","CATSPER2","KRT1","TSPAN4","LDHA","DNAJB1","RAI14"
"11","FBXO5","LAMB1","NECTIN4","CRNN","P4HA1","DUSP5","S100A2"
"12","TMSB15A","DYNC2H1","THBD","DAPL1","ANXA3","EGR1","S100A7"
"13","TOP2A","FRAS1","LAD1","SLC27A5","PGK1","FOS","TNC"
"14","MKI67","NIN","S100A7","CHRDL2","AK4","HSPH1","KRT6B"
"15","ASPM","ANKRD36C","DSG1","CTSL","CHRDL2","IER2","LIMA1"
"16","CENPF","TNRC6C","MT1X","MT1F","FHL1","IER3","PDLIM4"
"17","ECT2","ZBTB37","NOTCH3","SOX18","GAPDH","JUN","PLAU"
"18","HMGB2","DSP","UNC5B-AS1","ALK","GBP1","MAFF","TYMP"
"19","ORC6","MEGF6","LGALS3","BOK","IFITM3","BTG1","GALNT15"
"20","NUSAP1","SLC6A6","RHOV","CHRD",NA,"CBX4","NCOA7"
"21","PTTG1","FAT1","SULF2","CLU",NA,"DNAJB4","TMEM45A"
"22","SMC2","LRP8","TMSB4X","EDN2",NA,"DUSP1","CDCP1"
"23","TACC3","MACF1","APOE","HSD11B2",NA,"GADD45B","IFITM3"
"24","BRCA1","RTL10","NUPR1","LINC01315",NA,"HES1","LAMC2"
"25","KIF20B","ABI3BP","SCUBE3","UCP2",NA,"HSPA1B","LYPD3"
"26","CENPU","COL27A1","S100A8","ARPC1B",NA,"IER5","PHLDA2"
"27","SKA2","NTRK3","TACSTD2","CHST2",NA,"INTS6","PLEK2"
"28","ATAD5","PCNT","INHBA","PGF",NA,"PPP1R15A","PRSS22"
"29","BRCA2","PTPN14","PKP1","POLR2L",NA,"ZFP36L1","RELB"
"30","CHEK1","SYNE2","DBI","SLC6A9",NA,"CDKN1A","TMEM132A"
"31","PRC1","SORL1","KRT75","SPHK1",NA,"KLF10","AQP3"
"32","C21orf58","ACOT11","PERP","C16orf74",NA,"SERTAD1","ITGAV"
"33","CDK1","KIAA1549","TINCR","COL11A1",NA,"DNAJA1","KRT16"
"34","CENPH","SLC7A2","CX3CL1","ITPK1",NA,"DUSP2","NRIP1"
"35","GGH","CDH11","DSC2","KRTAP17-1",NA,"HEXIM1","OSMR"
"36","TK1","MPPED1","ENDOD1","TAGLN",NA,"KLF4","PDLIM7"
"37","GINS2","BNC1","TMEM45A","CABP1",NA,"MYLIP","PYGL"
"38","HMGB1","IRS4","AQP3","CARD16",NA,"RGS16","VSNL1"
"39","ATAD2","NPNT","LYPD3","DCN",NA,"GADD45A",NA
"40","CKS1B","ZNF445","S100A2","LOXL1",NA,"ID3",NA
"41","DTYMK","HLF","CYB5A","MDK",NA,"TRIB1",NA
"42","H1-1","LTBP1","GRHL1","PRR7",NA,"JMJD6",NA
"43","KIF22","PRICKLE2","ABCC12","SLC1A6",NA,"MCL1",NA
"44","ZWINT","TMTC1","NDRG2","TSPAN8",NA,"MYC",NA
"45","GMNN","WNT5A","FZD6",NA,NA,"PLK2",NA
"46","CDCA7","FAM227A","AHNAK2",NA,NA,"SOCS3",NA
"47","MIS18A","SETX","ALCAM",NA,NA,"TSC22D2",NA
"48","PCNA","SLIT3","HOPX",NA,NA,"CCN1",NA
"49","SMC4","TNS3","MDFIC",NA,NA,"DLX2",NA
"50","SPDL1","ZDBF2","CSTB",NA,NA,"HSPA6",NA
"51","RFC3",NA,"FXYD3",NA,NA,"ZC3H12A",NA
"52","RRM1",NA,"APOC1",NA,NA,"TIPARP",NA
"53","CKS2",NA,"BARX2",NA,NA,"TLE4",NA
"54","H4C3",NA,"KRT16",NA,NA,"TSC22D1",NA
"55","HMGN2",NA,"STEAP1",NA,NA,"ARC",NA
"56","CCDC34",NA,"CLCA2",NA,NA,"BCL6",NA
"57","DEK",NA,"GBP2",NA,NA,"ING1",NA
"58","NCAPD3",NA,"DSC1",NA,NA,"KLF6",NA
"59","TTF2",NA,"S100A16",NA,NA,"RSRP1",NA
"60","MCM6",NA,"TM4SF1",NA,NA,"TENT5A",NA
"61","VRK1",NA,"CIB1",NA,NA,"ADRB2",NA
"62","WDR76",NA,"CLTB",NA,NA,"DEDD2",NA
"63","MCM3",NA,"EPHB6",NA,NA,"FKBPL",NA
"64","TUBA1B",NA,"GJB3",NA,NA,"IFRD1",NA
"65","DNAJC9",NA,"KLC3",NA,NA,"IRS2",NA
"66","GEN1",NA,"PKIA",NA,NA,"SEMA4A",NA
"67","H1-2",NA,"CNN3",NA,NA,"HSP90AB1",NA
"68","STMN1",NA,"IGFBP5",NA,NA,"ADM",NA
"69","H2AC11",NA,"KRT80",NA,NA,"CITED2",NA
"70","HELLS",NA,"MGP",NA,NA,"EGR3",NA
"71","LIG1",NA,"TSPO",NA,NA,"ERRFI1",NA
"72","LMNB2",NA,"CRCT1",NA,NA,"UBC",NA
"73","PSIP1",NA,"CREG1",NA,NA,"BRD2",NA
"74","RFC2",NA,"IL1RN",NA,NA,"BTG2",NA
"75","DBF4",NA,"S100A9",NA,NA,"HSPA2",NA
"76","H2AZ1",NA,"ALDH2",NA,NA,"BHLHE40",NA
"77","H2BC9",NA,"HEBP2",NA,NA,"ID1",NA
"78","CDCA4",NA,"JUP",NA,NA,"IRF1",NA
"79","FEN1",NA,"MUC15",NA,NA,"MIR22HG",NA
"80","KPNA2",NA,"SLC40A1",NA,NA,"NFKBIZ",NA
"81","MCM5",NA,"MFAP2",NA,NA,"ZBTB10",NA
"82","MIS18BP1",NA,"NAALADL2",NA,NA,"ARL4D",NA
"83","PRIM1",NA,"S100A11",NA,NA,"DUSP6",NA
"84","PXMP2",NA,NA,NA,NA,"NABP1",NA
"85","RFC4",NA,NA,NA,NA,"NKRF",NA
"86","TMPO",NA,NA,NA,NA,"NRARP",NA
"87","DUT",NA,NA,NA,NA,"MIR222HG",NA
"88","MCM4",NA,NA,NA,NA,"TNFAIP3",NA
"89","ANP32E",NA,NA,NA,NA,"ZNF703",NA
"90","LSM4",NA,NA,NA,NA,"BBC3",NA
"91","NSD2",NA,NA,NA,NA,"GEM",NA
"92","EMC9",NA,NA,NA,NA,"HSPA8",NA
"93","H1-3",NA,NA,NA,NA,"MAFB",NA
"94","ZWILCH",NA,NA,NA,NA,"RGS2",NA
"95","H2AX",NA,NA,NA,NA,"RHOB",NA
"96","IGFBP2",NA,NA,NA,NA,"IL20",NA
"97","POLD3",NA,NA,NA,NA,"KLF5",NA
"98","RANBP1",NA,NA,NA,NA,"MSX1",NA
"99","TMEM97",NA,NA,NA,NA,"PNP",NA
"100","KRT85",NA,NA,NA,NA,"TSPYL2",NA
"101","NUCKS1",NA,NA,NA,NA,"UBB",NA
"102","SAP30",NA,NA,NA,NA,"VMP1",NA
"103","DNMT1",NA,NA,NA,NA,"ZBTB11",NA
"104","DYNC2I2",NA,NA,NA,NA,"ZFAND2A",NA
"105","ITGB3BP",NA,NA,NA,NA,"KDM6B",NA
"106","SASS6",NA,NA,NA,NA,"LDLR",NA
"107","H1-4",NA,NA,NA,NA,"SAT1",NA
"108","H4C5",NA,NA,NA,NA,"SIRT1",NA
"109","RPA3",NA,NA,NA,NA,"SLC2A3",NA
"110","UBE2S",NA,NA,NA,NA,"CXCR4",NA
"111","APOLD1",NA,NA,NA,NA,"EFNA1",NA
"112","TUBB",NA,NA,NA,NA,"IER5L",NA
"113","CKLF",NA,NA,NA,NA,"ZNF503",NA
"114","MZT1",NA,NA,NA,NA,"IFI30",NA
"115","USP1",NA,NA,NA,NA,"NEU1",NA
"116","NUDT1",NA,NA,NA,NA,"PTGER4",NA
"117","UNG",NA,NA,NA,NA,"RAB11FIP1",NA
"118","CALM2",NA,NA,NA,NA,"RNF227",NA
"119","CEP295",NA,NA,NA,NA,"SDR42E2",NA
"120","FAM111A",NA,NA,NA,NA,"ANGPTL4",NA
"121","HMGN5",NA,NA,NA,NA,"CEBPB",NA
"122","KCNAB3",NA,NA,NA,NA,"KLF9",NA
"123","RPA2",NA,NA,NA,NA,"RND3",NA
"124",NA,NA,NA,NA,NA,"ZFP36L2",NA
