"","x"
"1","IRF9"
"2","GADD45B"
"3","GNAI2"
"4","POU2F2"
"5","ACTG2"
"6","PIK3R1"
"7","STARD3"
"8","STAMBPL1"
"9","KRT14"
"10","CDC25A"
"11","PSMB2"
"12","ASB3"
"13","NHLRC3"
"14","IL26"
"15","PLA2G4E"
"16","SUGT1"
"17","CYBB"
"18","NKX6-1"
"19","UBE2V2"
"20","NAV1"
"21","GGA2"
"22","INPP5K"
"23","MYL7"
"24","PNPLA6"
"25","CCKAR"
"26","HMGB2"
"27","PSMC5"
"28","FAM30A"
"29","P3H2"
"30","COL8A1"
"31","SH2D1B"
"32","GJB1"
"33","EMD"
"34","SPIDR"
"35","SEC13"
"36","SCG2"
"37","CR2"
"38","OSMR"
"39","ADNP2"
"40","ALDH3A2"
"41","NCAM1"
"42","DNMT3A"
"43","ETNK1"
"44","MTM1"
"45","APTX"
"46","RUVBL1"
"47","DNAJC11"
"48","SERINC2"
"49","LBP"
"50","POLE2"
"51","PTPRM"
"52","POU2F3"
"53","FUCA1"
"54","PGLS"
"55","USF2"
"56","FOXC1"
"57","ARSG"
"58","MED10"
"59","GSTO1"
"60","IGLV7-43"
"61","SEH1L"
"62","GNPTAB"
"63","PSMB6"
"64","TMEM140"
"65","SAV1"
"66","IGLV8-61"
"67","LHPP"
"68","NPC2"
"69","SH2D1A"
"70","ACKR3"
"71","ATP5F1D"
"72","CLSTN1"
"73","VASP"
"74","NDUFAB1"
"75","NTRK1"
"76","STAT1"
"77","ICAM3"
"78","SOCS1"
"79","PROCR"
"80","PRL"
"81","DDIT3"
"82","ARID5B"
"83","LRPPRC"
"84","TCF7L1"
"85","CPB1"
"86","GSK3B"
"87","ULBP3"
"88","ZNF580"
"89","BAG3"
"90","FES"
"91","PRKCA"
"92","BRD3"
"93","AZI2"
"94","HTR1B"
"95","SLC38A2"
"96","PPP2R1B"
"97","TMX3"
"98","NPM2"
"99","SPRED2"
"100","ASS1"
"101","SNU13"
"102","MFNG"
"103","MDM4"
"104","DNER"
"105","APH1A"
"106","PDLIM2"
"107","KPNA1"
"108","AKR1A1"
"109","SLC3A2"
"110","CASP10"
"111","TERT"
"112","NTF3"
"113","PDK2"
"114","TRIM24"
"115","RHBDD2"
"116","CHORDC1"
"117","NME1"
"118","ACD"
"119","GRK6"
"120","GRIP1"
"121","PPME1"
"122","ULBP2"
"123","PLPPR1"
"124","SMARCD3"
"125","PLXNA1"
"126","BCHE"
"127","COPS7B"
"128","MCFD2"
"129","SSH2"
"130","CEBPZ"
"131","LY96"
"132","NUP205"
"133","SYN3"
"134","FGD4"
"135","RAB5B"
"136","CDH5"
"137","PTDSS1"
"138","TREML1"
"139","RNF34"
"140","MIS18A"
"141","NUP107"
"142","BCOR"
"143","GALP"
"144","MIB2"
"145","TBXA2R"
"146","GALNS"
"147","PPM1B"
"148","LTBP2"
"149","FHL1"
"150","ORAI1"
"151","LATS1"
"152","HELZ2"
"153","P2RY6"
"154","SNHG11"
"155","SLC27A4"
"156","APOLD1"
"157","ILF2"
"158","MIF"
"159","PAG1"
"160","ICAM5"
"161","PTPRF"
"162","IRF2"
"163","ITGA8"
"164","DRAXIN"
"165","HDAC11"
"166","SRGAP2"
"167","TOP2A"
"168","NR4A1"
"169","POLD3"
"170","LIPA"
"171","CD68"
"172","OSBPL3"
"173","TRBC2"
"174","ADGRL1"
"175","COL6A2"
"176","SORBS1"
"177","GLO1"
"178","HTR6"
"179","ADCY9"
"180","FZD10"
"181","DBP"
"182","ACADS"
"183","MAP4K3"
"184","RHOF"
"185","BASP1"
"186","DDIT4"
"187","NGLY1"
"188","CD44"
"189","CEACAM8"
"190","NDUFA4L2"
"191","HLA-DMB"
"192","DAPK1"
"193","SPON2"
"194","HNF1A"
"195","DUSP2"
"196","HECTD2"
"197","AHR"
"198","NSDHL"
"199","CISH"
"200","TRIP12"
"201","ENPP4"
"202","PSMC1"
"203","PLAC8"
"204","RAB2A"
"205","ELP6"
"206","DEGS1"
"207","PTBP1"
"208","GRID2"
"209","LPCAT3"
"210","MYL12A"
"211","GLIS3"
"212","REPS2"
"213","POMC"
"214","KRT10"
"215","RUNX3"
"216","SLC24A3"
"217","TMED5"
"218","ATOX1"
"219","TSC1"
"220","HSD17B12"
"221","RLN3"
"222","ACSL5"
"223","CAPN7"
"224","SQLE"
"225","PRKCD"
"226","USP1"
"227","SDHA"
"228","NTRK2"
"229","CDKN2A"
"230","CNGA2"
"231","EPHB3"
"232","ST6GAL1"
"233","TRAV8-4"
"234","TNS3"
"235","CCK"
"236","TUBGCP3"
"237","FAR2"
"238","IL21"
"239","ADORA2A"
"240","TMEM119"
"241","TANK"
"242","CDC16"
"243","CLEC4D"
"244","SEC11C"
"245","MLH3"
"246","DUSP16"
"247","KRT20"
"248","RAD23B"
"249","ITPK1"
"250","TYMP"
"251","NCKAP1L"
"252","CRACR2A"
"253","BCL3"
"254","ESYT1"
"255","NPY"
"256","PDS5A"
"257","RXRB"
"258","TLN1"
"259","NTHL1"
"260","AFF2"
"261","SPRR3"
"262","SULF2"
"263","LIMD1"
"264","CLEC14A"
"265","MFAP5"
"266","NDUFS1"
"267","LAMB3"
"268","MSR1"
"269","DOCK9"
"270","GAD2"
"271","PDHX"
"272","EDEM1"
"273","FGF7"
"274","NPVF"
"275","MMP15"
"276","DPY30"
"277","TRIM34"
"278","SIGLEC8"
"279","LYPLA1"
"280","TNR"
"281","BCL11B"
"282","NECTIN1"
"283","IQCK"
"284","PDIA4"
"285","S100P"
"286","ARF4"
"287","ARRB1"
"288","ATP6AP1"
"289","CDH3"
"290","CBL"
"291","MR1"
"292","SPACA3"
"293","WNT9A"
"294","WDR77"
"295","VPS25"
"296","SCUBE2"
"297","BCAT1"
"298","SAA1"
"299","TCL1A"
"300","ADH4"
"301","SLIT2"
"302","UBE2D1"
"303","LTA4H"
"304","SLC5A7"
"305","ZEB2"
"306","CANT1"
"307","LTBR"
"308","DGKG"
"309","ATXN2"
"310","GPR160"
"311","TPO"
"312","CENPC"
"313","NCOA7"
"314","BBS1"
"315","SEMA3C"
"316","DHRS3"
"317","POLR1G"
"318","EIF2S3"
"319","TAPBP"
"320","BACE1"
"321","COX4I1"
"322","ARRB2"
"323","RSPO3"
"324","TFR2"
"325","CAPN2"
"326","DLGAP2"
"327","PDYN"
"328","SETD7"
"329","NEUROG1"
"330","CAMK2N1"
"331","MYO9B"
"332","ZIC2"
"333","COMMD9"
"334","GPC4"
"335","TPTE"
"336","RILP"
"337","EXO1"
"338","PPA2"
"339","ATP1A4"
"340","HOXA9"
"341","TSPYL2"
"342","C5AR2"
"343","THRAP3"
"344","LHFPL2"
"345","SYNJ1"
"346","AGAP3"
"347","RRM2B"
"348","GPX3"
"349","B9D2"
"350","PRKAR2A"
"351","SMAD7"
"352","DNAJC1"
"353","MOGS"
"354","HHEX"
"355","SPAST"
"356","LILRB1"
"357","TCF12"
"358","FBXO27"
"359","BLNK"
"360","PSMA3"
"361","RHOBTB3"
"362","FGF16"
"363","PARP12"
"364","COMMD3"
"365","MUC2"
"366","HOXA11"
"367","PLAT"
"368","DSE"
"369","FBXW7"
"370","STX7"
"371","PRKCZ"
"372","CDKN2B"
"373","E2F3"
"374","C8G"
"375","HK1"
"376","ELL2"
"377","GAB1"
"378","LIN54"
"379","GPR182"
"380","TSC2"
"381","NCR3"
"382","CERS5"
"383","DEFB134"
"384","HDAC4"
"385","NEURL1"
"386","HDAC6"
"387","ELMO2"
"388","DNASE1L1"
"389","LPAR1"
"390","HDAC8"
"391","SACM1L"
"392","PPP1R16B"
"393","AGR2"
"394","SPPL2A"
"395","PBRM1"
"396","RAP1A"
"397","COL4A2"
"398","STXBP1"
"399","BIRC6"
"400","ASH2L"
"401","HMMR"
"402","MAPK10"
"403","EIF4G1"
"404","PLA2R1"
"405","ADD3"
"406","SUMF2"
"407","PTPRU"
"408","PTGER3"
"409","ACER2"
"410","G3BP2"
"411","DIPK2B"
"412","LCK"
"413","GLI1"
"414","CSNK1G2"
"415","FGFRL1"
"416","ITGA3"
"417","SERINC5"
"418","HSD17B11"
"419","CTNND2"
"420","ATP1B1"
"421","HBA1/2"
"422","CCS"
"423","CTNNB1"
"424","AKR1B1"
"425","ATF3"
"426","DGKD"
"427","CACNA1S"
"428","RNGTT"
"429","AMBP"
"430","SRR"
"431","ARPC5"
"432","MTAP"
"433","CD5"
"434","ACVR1"
"435","KRT1"
"436","HK2"
"437","OLIG2"
"438","SIX2"
"439","FAR1"
"440","RASGRP2"
"441","RDH14"
"442","COL15A1"
"443","BAD"
"444","GAS7"
"445","MTF1"
"446","IGHV1-69"
"447","POLE3"
"448","TGFB2"
